nbsujet act10 act100 act1000
398 75 75 75
399 87 87 87
400 74 74 77
401 76 76 76
402 95 95 59
403 90 90 54
404 92 92 68
405 45 45 44
406 43 43 80
407 91 91 75
408 82 82 82
409 98 98 86
410 98 98 88
411 3 3 44
412 68 68 81
413 66 66 79
414 47 47 76
415 89 89 68
416 72 72 79
417 97 97 69
418 96 96 60
419 96 96 72
420 93 93 84
421 67 67 67
422 81 81 81
423 81 81 81
424 77 77 77
425 1 1 44
426 90 90 90
427 38 38 44
428 67 67 79
429 90 90 77
430 84 84 84
431 91 91 89
432 92 92 56
433 88 88 71
434 73 73 79
435 6 6 44
436 79 79 81
437 45 45 78
438 68 68 83
439 89 89 77
440 89 89 89
441 88 88 88
442 99 99 63
443 37 37 44
444 90 90 54
445 87 87 87
446 88 88 82
447 76 76 78
448 42 42 81
449 85 85 85
450 95 95 59
451 97 97 71
452 41 41 44
453 90 90 90
454 40 40 83
455 88 88 85
456 46 46 77
457 87 87 76
458 96 96 60
459 74 74 78
460 88 88 89
461 87 87 88
462 81 81 82
463 83 83 84
464 72 72 73
465 73 73 57
466 82 82 80
467 44 44 44
468 44 44 44
469 65 65 78
470 69 69 68
471 77 77 78
472 54 54 54
473 86 86 87
474 90 90 54
475 91 91 92
476 82 82 83
477 85 85 86
478 78 78 79
479 92 92 93
480 35 35 44
481 42 42 44
482 92 92 79
483 94 94 77
484 85 85 86
485 84 84 85
486 98 98 62
487 91 91 75
488 93 93 70
489 83 83 84
490 96 96 81
491 93 93 76
492 80 80 81
493 96 96 76
494 72 72 76
495 89 89 53
496 88 88 61
497 90 90 89
498 88 88 74
499 96 96 89
500 84 84 85
501 91 91 70
502 54 54 82
503 95 95 93
504 82 82 83
505 93 93 44
506 93 93 69
507 93 93 68
508 86 86 69
509 58 58 78
510 96 96 53
511 95 95 78
512 90 90 59
513 93 93 81
514 93 93 78
515 89 89 75
516 92 92 93
517 93 93 74
518 68 68 80
519 95 95 72
520 93 93 56
521 80 80 81
522 78 78 81
523 90 90 86
524 95 95 54
525 80 80 81
526 80 80 81
527 94 94 68
