nbsujet act10 act100 act1000
398 55 55 28
399 35 35 45
400 55 55 32
401 55 55 30
402 55 55 31
403 54 54 49
404 52 52 44
405 55 55 34
406 51 51 36
407 55 55 28
408 55 55 32
409 55 55 34
410 55 55 35
411 32 32 48
412 55 55 37
413 55 55 34
414 30 30 50
415 55 55 34
416 53 53 34
417 55 55 28
418 31 31 49
419 57 57 30
420 56 56 31
421 56 56 33
422 53 53 35
423 54 54 34
424 55 55 29
425 52 52 35
426 55 55 35
427 46 46 47
428 56 56 32
429 51 51 36
430 55 55 36
431 33 33 48
432 55 55 28
433 51 51 45
434 50 50 49
435 55 55 28
436 53 53 50
437 55 55 28
438 50 50 49
439 55 55 32
440 53 53 35
441 52 52 50
442 55 55 28
443 46 46 44
444 51 51 36
445 55 55 35
446 35 35 45
447 54 54 36
448 53 53 35
449 57 57 30
450 53 53 34
451 35 35 45
452 55 55 28
453 55 55 31
454 55 55 30
455 52 52 47
456 34 34 49
457 55 55 32
458 34 34 46
459 55 55 32
460 54 54 33
461 32 32 48
462 55 55 37
463 54 54 33
464 33 33 48
465 55 55 28
466 52 52 35
467 55 55 32
468 35 35 50
469 55 55 34
470 53 53 45
471 55 55 29
472 32 32 49
473 55 55 33
474 55 55 28
475 49 49 45
476 55 55 35
477 53 53 47
478 56 56 31
479 55 55 31
480 55 55 30
481 53 53 34
482 53 53 36
483 55 55 28
484 55 55 28
485 32 32 48
486 55 55 28
487 55 55 31
488 33 33 50
489 56 56 31
490 52 52 36
491 48 48 45
492 55 55 30
493 55 55 31
494 53 53 44
495 51 51 51
496 52 52 35
497 48 48 50
498 55 55 32
499 49 49 50
500 45 45 45
501 55 55 32
502 50 50 49
503 53 53 44
504 54 54 33
505 58 58 30
506 50 50 44
507 55 55 29
508 56 56 36
509 55 55 28
510 55 55 34
511 55 55 35
512 52 52 35
513 53 53 37
514 48 48 48
515 52 52 35
516 51 51 50
517 53 53 34
518 54 54 34
519 34 34 47
520 50 50 49
521 55 55 30
522 31 31 50
523 49 49 44
524 55 55 32
525 49 49 47
526 57 57 30
527 48 48 50
528 58 58 31
529 56 56 37
530 55 55 36
531 55 55 37
532 33 33 48
533 51 51 36
534 55 55 28
535 48 48 47
536 56 56 31
537 55 55 32
538 32 32 48
539 31 31 50
540 56 56 31
541 52 52 35
542 36 36 44
543 55 55 28
544 34 34 47
545 45 45 44
546 48 48 48
547 57 57 31
548 56 56 31
549 50 50 45
550 55 55 28
551 55 55 28
552 52 52 35
553 54 54 37
554 56 56 31
555 56 56 31
556 34 34 46
557 51 51 36
558 55 55 37
559 55 55 36
560 55 55 30
561 55 55 29
562 55 55 28
563 55 55 30
564 52 52 36
565 55 55 34
566 55 55 36
567 34 34 46
568 54 54 34
569 55 55 32
570 55 55 37
571 53 53 44
572 55 55 30
573 37 37 44
574 52 52 36
575 55 55 37
576 55 55 32
577 52 52 35
578 55 55 33
579 33 33 47
580 54 54 50
581 55 55 28
582 55 55 37
583 49 49 44
584 55 55 33
585 55 55 31
586 55 55 32
587 55 55 37
588 53 53 34
589 57 57 31
590 55 55 29
591 54 54 33
592 55 55 28
593 51 51 46
594 52 52 48
595 55 55 28
596 55 55 30
597 55 55 37
598 55 55 28
599 55 55 32
600 54 54 33
601 51 51 37
602 45 45 50
603 55 55 29
604 55 55 29
605 55 55 37
606 52 52 35
607 55 55 28
608 33 33 47
609 30 30 50
610 55 55 28
611 51 51 36
612 57 57 35
613 55 55 34
614 55 55 30
615 34 34 46
616 55 55 28
617 55 55 32
618 54 54 45
619 34 34 46
620 48 48 46
621 35 35 48
622 55 55 31
623 51 51 46
624 55 55 36
625 55 55 32
626 55 55 35
627 51 51 36
628 49 49 45
629 55 55 47
630 53 53 47
631 53 53 35
632 55 55 31
633 55 55 35
634 55 55 28
635 55 55 32
636 50 50 45
637 51 51 46
638 50 50 48
639 53 53 34
640 53 53 47
641 55 55 28
642 55 55 31
643 51 51 46
644 56 56 32
645 52 52 35
646 51 51 36
647 50 50 44
648 55 55 28
649 55 55 28
650 55 55 28
651 52 52 36
652 55 55 30
653 55 55 37
654 55 55 32
655 55 55 30
656 52 52 36
657 35 35 45
658 55 55 34
659 52 52 35
660 55 55 28
661 51 51 36
662 51 51 37
663 55 55 32
664 51 51 50
665 55 55 32
666 32 32 48
667 53 53 34
668 51 51 37
669 55 55 46
670 55 55 31
671 55 55 28
672 55 55 30
673 56 56 33
